"ad_id","xyz_campaign_id","fb_campaign_id","age","gender","interest","Impressions","Clicks","Spent","Total_Conversion","Approved_Conversion"
"ID_735289","CPG_ID_936","FB_ID_108834","45-49","F","Interest_27",20362,5,9.119999886,1,1
"ID_735290","CPG_ID_936","FB_ID_108834","45-49","F","Interest_27",12215,4,6.26000011,1,0
"ID_735298","CPG_ID_936","FB_ID_108836","45-49","F","Interest_29",85412,28,38.63999999,2,1
"ID_736869","CPG_ID_936","FB_ID_109448","30-34","M","Interest_2",2338,1,0.239999995,1,0
"ID_736890","CPG_ID_936","FB_ID_109451","30-34","M","Interest_15",2522,0,0,1,0
"ID_736893","CPG_ID_936","FB_ID_109452","30-34","M","Interest_16",3587,0,0,1,0
"ID_736977","CPG_ID_936","FB_ID_109470","30-34","M","Interest_27",1273,0,0,1,0
"ID_736988","CPG_ID_936","FB_ID_109472","30-34","M","Interest_28",3891,1,1.090000033,1,0
"ID_736995","CPG_ID_936","FB_ID_109473","30-34","M","Interest_29",1888,0,0,1,0
"ID_736997","CPG_ID_936","FB_ID_109473","30-34","M","Interest_29",1895,0,0,1,0
"ID_737097","CPG_ID_936","FB_ID_109498","35-39","M","Interest_7",715,0,0,1,0
"ID_737130","CPG_ID_936","FB_ID_109507","35-39","M","Interest_16",11199,2,2.680000067,1,0
"ID_737320","CPG_ID_936","FB_ID_109553","35-39","M","Interest_63",5676,2,3.00999999,1,0
"ID_737375","CPG_ID_936","FB_ID_109565","40-44","M","Interest_10",1415,0,0,1,0
"ID_737524","CPG_ID_936","FB_ID_109601","40-44","M","Interest_30",2148,1,1.580000043,1,1
"ID_737644","CPG_ID_936","FB_ID_109629","45-49","M","Interest_16",45401,10,14.06000042,1,0
"ID_737657","CPG_ID_936","FB_ID_109633","45-49","M","Interest_18",7478,2,2.900000095,1,1
"ID_737658","CPG_ID_936","FB_ID_109633","45-49","M","Interest_18",4919,1,1.590000033,1,0
"ID_737674","CPG_ID_936","FB_ID_109637","45-49","M","Interest_20",533,0,0,1,1
"ID_737766","CPG_ID_936","FB_ID_109659","45-49","M","Interest_29",1447,0,0,1,1
"ID_737896","CPG_ID_936","FB_ID_109689","30-34","F","Interest_16",17553,3,4.590000153,1,0
"ID_737931","CPG_ID_936","FB_ID_109698","30-34","F","Interest_20",3343,1,0.540000021,1,0
"ID_737961","CPG_ID_936","FB_ID_109706","30-34","F","Interest_23",523,0,0,1,0
"ID_737995","CPG_ID_936","FB_ID_109714","30-34","F","Interest_26",1873,0,0,1,0
"ID_738006","CPG_ID_936","FB_ID_109717","30-34","F","Interest_27",34740,7,13.41000009,1,1
"ID_738067","CPG_ID_936","FB_ID_109731","30-34","F","Interest_32",658,0,0,1,0
"ID_738098","CPG_ID_936","FB_ID_109738","30-34","F","Interest_64",1539,0,0,1,0
"ID_738307","CPG_ID_936","FB_ID_109788","35-39","F","Interest_31",3010,1,0.860000014,1,1
"ID_738389","CPG_ID_936","FB_ID_109808","40-44","F","Interest_10",27081,9,10.77000046,1,1
"ID_738408","CPG_ID_936","FB_ID_109813","40-44","F","Interest_16",20233,4,5.590000153,3,0
"ID_738413","CPG_ID_936","FB_ID_109813","40-44","F","Interest_16",147159,36,58.16000044,3,1
"ID_738423","CPG_ID_936","FB_ID_109816","40-44","F","Interest_18",21664,7,10.61999977,1,1
"ID_738436","CPG_ID_936","FB_ID_109820","40-44","F","Interest_19",9112,4,5.460000038,1,1
"ID_738463","CPG_ID_936","FB_ID_109826","40-44","F","Interest_21",542,0,0,1,0
"ID_738528","CPG_ID_936","FB_ID_109839","40-44","F","Interest_30",402,0,0,1,1
"ID_738560","CPG_ID_936","FB_ID_109844","40-44","F","Interest_64",1338,0,0,1,0
"ID_738582","CPG_ID_936","FB_ID_109848","45-49","F","Interest_10",46150,15,20.17999983,1,1
"ID_738592","CPG_ID_936","FB_ID_109850","45-49","F","Interest_16",493821,116,176.3799977,4,1
"ID_738593","CPG_ID_936","FB_ID_109850","45-49","F","Interest_16",92011,27,34.39000046,2,1
"ID_738598","CPG_ID_936","FB_ID_109851","45-49","F","Interest_18",12956,4,5.49000001,1,1
"ID_738606","CPG_ID_936","FB_ID_109852","45-49","F","Interest_19",529,0,0,1,0
"ID_738637","CPG_ID_936","FB_ID_109857","45-49","F","Interest_24",944,1,1.419999957,1,0
"ID_738648","CPG_ID_936","FB_ID_109859","45-49","F","Interest_26",111090,38,51.97000027,5,1
"ID_747212","CPG_ID_936","FB_ID_110836","30-34","M","Interest_10",7208,2,3.190000057,1,0
"ID_747213","CPG_ID_936","FB_ID_110836","30-34","M","Interest_10",1746,0,0,1,0
"ID_747220","CPG_ID_936","FB_ID_110837","30-34","M","Interest_15",2474,0,0,2,2
"ID_747222","CPG_ID_936","FB_ID_110838","30-34","M","Interest_16",12489,2,1.960000038,1,0
"ID_747223","CPG_ID_936","FB_ID_110838","30-34","M","Interest_16",8032,1,0.600000024,2,0
"ID_747248","CPG_ID_936","FB_ID_110842","30-34","M","Interest_21",472,0,0,1,1
"ID_747332","CPG_ID_936","FB_ID_110856","30-34","M","Interest_64",792,0,0,1,1
"ID_747362","CPG_ID_936","FB_ID_110861","35-39","M","Interest_15",4607,1,1.149999976,1,1
"ID_747369","CPG_ID_936","FB_ID_110862","35-39","M","Interest_16",13355,2,3.180000067,1,1
"ID_747370","CPG_ID_936","FB_ID_110862","35-39","M","Interest_16",2936,0,0,1,0
"ID_747401","CPG_ID_936","FB_ID_110867","35-39","M","Interest_22",2793,1,0.980000019,1,1
"ID_747435","CPG_ID_936","FB_ID_110873","35-39","M","Interest_28",1032,0,0,1,0
"ID_747439","CPG_ID_936","FB_ID_110874","35-39","M","Interest_29",1662,0,0,1,1
"ID_747489","CPG_ID_936","FB_ID_110882","40-44","M","Interest_2",4016,2,1.480000049,1,1
"ID_747514","CPG_ID_936","FB_ID_110886","40-44","M","Interest_16",14843,3,2.939999938,1,1
"ID_747645","CPG_ID_936","FB_ID_110908","45-49","M","Interest_10",9674,3,4.600000024,1,1
"ID_747659","CPG_ID_936","FB_ID_110910","45-49","M","Interest_16",12186,2,2.669999957,1,0
"ID_747675","CPG_ID_936","FB_ID_110913","45-49","M","Interest_20",673,0,0,1,0
"ID_747678","CPG_ID_936","FB_ID_110914","45-49","M","Interest_21",370,0,0,1,1
"ID_747712","CPG_ID_936","FB_ID_110919","45-49","M","Interest_26",450,0,0,1,1
"ID_747790","CPG_ID_936","FB_ID_110932","30-34","F","Interest_10",2077,0,0,1,1
"ID_747791","CPG_ID_936","FB_ID_110932","30-34","F","Interest_10",31393,8,10.96000051,1,1
"ID_747795","CPG_ID_936","FB_ID_110933","30-34","F","Interest_15",8410,2,2.359999895,1,1
"ID_747798","CPG_ID_936","FB_ID_110934","30-34","F","Interest_16",25884,5,7.350000143,1,0
"ID_747824","CPG_ID_936","FB_ID_110938","30-34","F","Interest_21",608,0,0,1,1
"ID_747828","CPG_ID_936","FB_ID_110939","30-34","F","Interest_22",28488,10,9.340000033,1,0
"ID_747852","CPG_ID_936","FB_ID_110943","30-34","F","Interest_26",10126,3,4.619999886,1,0
"ID_747859","CPG_ID_936","FB_ID_110944","30-34","F","Interest_27",22572,5,8.5,1,0
"ID_747863","CPG_ID_936","FB_ID_110944","30-34","F","Interest_27",1955,0,0,1,1
"ID_747879","CPG_ID_936","FB_ID_110947","30-34","F","Interest_30",493,0,0,1,0
"ID_747903","CPG_ID_936","FB_ID_110951","30-34","F","Interest_63",1491,0,0,1,1
"ID_747911","CPG_ID_936","FB_ID_110952","30-34","F","Interest_64",1495,0,0,1,1
"ID_747968","CPG_ID_936","FB_ID_110962","35-39","F","Interest_21",512,0,0,0,0
"ID_747991","CPG_ID_936","FB_ID_110966","35-39","F","Interest_25",4868,2,2.420000076,1,0
"ID_748000","CPG_ID_936","FB_ID_110967","35-39","F","Interest_26",6585,2,2.950000048,1,0
"ID_748007","CPG_ID_936","FB_ID_110968","35-39","F","Interest_27",10164,2,3.720000029,1,1
"ID_748014","CPG_ID_936","FB_ID_110970","35-39","F","Interest_29",11182,4,4.449999809,1,0
"ID_748045","CPG_ID_936","FB_ID_110975","35-39","F","Interest_63",1238,0,0,1,0
"ID_748086","CPG_ID_936","FB_ID_110982","40-44","F","Interest_16",34127,8,13.07000017,1,0
"ID_748087","CPG_ID_936","FB_ID_110982","40-44","F","Interest_16",29466,7,10.84999967,2,0
"ID_748089","CPG_ID_936","FB_ID_110982","40-44","F","Interest_16",38759,9,10.84999967,1,0
"ID_748091","CPG_ID_936","FB_ID_110982","40-44","F","Interest_16",41720,10,12.06000006,1,1
"ID_748225","CPG_ID_936","FB_ID_111005","45-49","F","Interest_15",18602,5,8.860000134,1,0
"ID_748230","CPG_ID_936","FB_ID_111006","45-49","F","Interest_16",83929,21,27.72999954,4,1
"ID_748231","CPG_ID_936","FB_ID_111006","45-49","F","Interest_16",25194,6,7.349999905,1,0
"ID_748233","CPG_ID_936","FB_ID_111006","45-49","F","Interest_16",78627,19,26.53000045,1,0
"ID_748235","CPG_ID_936","FB_ID_111006","45-49","F","Interest_16",102695,25,39.42999983,3,0
"ID_748294","CPG_ID_936","FB_ID_111016","45-49","F","Interest_27",82827,24,47.93000031,3,0
"ID_748295","CPG_ID_936","FB_ID_111016","45-49","F","Interest_27",9240,3,6.039999962,1,0
"ID_748303","CPG_ID_936","FB_ID_111018","45-49","F","Interest_29",7706,2,2.369999886,1,0
"ID_748314","CPG_ID_936","FB_ID_111020","45-49","F","Interest_31",7821,4,6.340000153,1,1
"ID_748341","CPG_ID_936","FB_ID_111024","45-49","F","Interest_64",1363,0,0,1,1
"ID_776318","CPG_ID_936","FB_ID_115484","45-49","F","Interest_15",3569,0,0,1,1
"ID_776322","CPG_ID_936","FB_ID_115485","45-49","F","Interest_16",119063,34,53.21999949,1,0
"ID_776323","CPG_ID_936","FB_ID_115485","45-49","F","Interest_16",99078,23,35.79999948,2,0
"ID_776325","CPG_ID_936","FB_ID_115485","45-49","F","Interest_16",452398,114,180.2200012,1,0
"ID_776334","CPG_ID_936","FB_ID_115487","45-49","F","Interest_10",191223,48,76.41000056,1,0
"ID_776336","CPG_ID_936","FB_ID_115487","45-49","F","Interest_10",22216,6,9.549999952,1,0
"ID_776338","CPG_ID_936","FB_ID_115487","45-49","F","Interest_10",48291,11,18.01999998,1,0
"ID_776353","CPG_ID_936","FB_ID_115490","40-44","F","Interest_63",27559,8,13.37,1,0
"ID_776373","CPG_ID_936","FB_ID_115493","45-49","F","Interest_25",10194,4,4.590000033,2,1
"ID_776383","CPG_ID_936","FB_ID_115495","45-49","F","Interest_23",1168,0,0,1,1
"ID_776405","CPG_ID_936","FB_ID_115498","45-49","F","Interest_21",40126,16,25.86000001,1,0
"ID_776416","CPG_ID_936","FB_ID_115500","45-49","F","Interest_19",3659,1,0.49000001,1,1
"ID_776430","CPG_ID_936","FB_ID_115503","30-34","M","Interest_10",3200,0,0,1,0
"ID_776464","CPG_ID_936","FB_ID_115508","45-49","F","Interest_29",7550,1,1.679999948,1,1
"ID_776469","CPG_ID_936","FB_ID_115509","45-49","F","Interest_28",45397,15,25.41999936,1,1
"ID_776473","CPG_ID_936","FB_ID_115510","30-34","M","Interest_16",23086,2,3.310000062,1,1
"ID_776475","CPG_ID_936","FB_ID_115510","30-34","M","Interest_16",16425,1,1.549999952,1,0
"ID_776476","CPG_ID_936","FB_ID_115510","30-34","M","Interest_16",43756,5,5.439999938,0,0
"ID_776477","CPG_ID_936","FB_ID_115510","30-34","M","Interest_16",9982,0,0,1,0
"ID_776489","CPG_ID_936","FB_ID_115512","45-49","F","Interest_26",175389,55,81.60999787,1,0
"ID_776494","CPG_ID_936","FB_ID_115513","30-34","M","Interest_15",7015,0,0,1,0
"ID_776515","CPG_ID_936","FB_ID_115517","45-49","F","Interest_65",12706,3,4.98999989,1,1
"ID_776519","CPG_ID_936","FB_ID_115517","45-49","F","Interest_65",70702,20,31.7099998,1,0
"ID_776533","CPG_ID_936","FB_ID_115520","45-49","F","Interest_63",63927,16,25.52000046,2,0
"ID_776534","CPG_ID_936","FB_ID_115520","45-49","F","Interest_63",15105,3,4.25999999,1,0
"ID_776538","CPG_ID_936","FB_ID_115521","30-34","F","Interest_15",8774,1,1.830000043,1,0
"ID_776551","CPG_ID_936","FB_ID_115523","30-34","F","Interest_16",14459,1,1.389999986,1,0
"ID_776552","CPG_ID_936","FB_ID_115523","30-34","F","Interest_16",21596,2,2.809999943,1,0
"ID_776553","CPG_ID_936","FB_ID_115523","30-34","F","Interest_16",66765,8,11.04999971,1,0
"ID_776563","CPG_ID_936","FB_ID_115525","30-34","F","Interest_7",1369,0,0,1,1
"ID_776579","CPG_ID_936","FB_ID_115527","30-34","F","Interest_10",26910,5,7.229999781,1,0
"ID_776603","CPG_ID_936","FB_ID_115531","30-34","F","Interest_2",506,0,0,1,0
"ID_776615","CPG_ID_936","FB_ID_115533","45-49","M","Interest_63",11988,3,4.269999862,1,0
"ID_776623","CPG_ID_936","FB_ID_115535","45-49","M","Interest_64",19353,6,9.4799999,1,1
"ID_776631","CPG_ID_936","FB_ID_115536","40-44","M","Interest_29",10960,2,2.890000105,1,0
"ID_776643","CPG_ID_936","FB_ID_115538","30-34","M","Interest_15",33491,6,10.56999969,2,1
"ID_776644","CPG_ID_936","FB_ID_115538","30-34","M","Interest_15",20083,2,3.200000048,2,1
"ID_776659","CPG_ID_936","FB_ID_115541","30-34","M","Interest_16",8817,0,0,1,1
"ID_776661","CPG_ID_936","FB_ID_115541","30-34","M","Interest_16",15466,1,0.970000029,1,0
"ID_776662","CPG_ID_936","FB_ID_115541","30-34","M","Interest_16",27072,3,4.370000005,1,0
"ID_776663","CPG_ID_936","FB_ID_115541","30-34","M","Interest_16",15753,1,0.569999993,1,1
"ID_776668","CPG_ID_936","FB_ID_115542","40-44","M","Interest_19",3523,1,1.809999943,1,1
"ID_776685","CPG_ID_936","FB_ID_115545","40-44","M","Interest_16",7745,0,0,1,0
"ID_776686","CPG_ID_936","FB_ID_115545","40-44","M","Interest_16",18709,2,3.319999933,1,0
"ID_776687","CPG_ID_936","FB_ID_115545","40-44","M","Interest_16",8022,0,0,2,1
"ID_776696","CPG_ID_936","FB_ID_115547","30-34","M","Interest_10",7966,1,1.179999948,1,1
"ID_776697","CPG_ID_936","FB_ID_115547","30-34","M","Interest_10",4132,0,0,1,1
"ID_776698","CPG_ID_936","FB_ID_115547","30-34","M","Interest_10",12785,3,4.730000019,2,1
"ID_776699","CPG_ID_936","FB_ID_115547","30-34","M","Interest_10",8213,1,1.379999995,1,1
"ID_776722","CPG_ID_936","FB_ID_115551","30-34","M","Interest_2",545,0,0,1,1
"ID_776725","CPG_ID_936","FB_ID_115552","40-44","M","Interest_23",2479,1,1.25999999,1,0
"ID_776780","CPG_ID_936","FB_ID_115561","40-44","M","Interest_2",3812,2,3.049999952,1,0
"ID_776793","CPG_ID_936","FB_ID_115563","45-49","M","Interest_21",1609,0,0,1,0
"ID_776799","CPG_ID_936","FB_ID_115564","45-49","M","Interest_20",10257,3,3.579999924,1,1
"ID_776817","CPG_ID_936","FB_ID_115567","40-44","M","Interest_10",12356,4,6.279999971,1,0
"ID_776825","CPG_ID_936","FB_ID_115568","45-49","M","Interest_18",7410,1,1.210000038,1,0
"ID_776829","CPG_ID_936","FB_ID_115569","45-49","M","Interest_16",140098,28,46.63000011,1,0
"ID_776831","CPG_ID_936","FB_ID_115569","45-49","M","Interest_16",107021,20,34.44000012,1,0
"ID_776840","CPG_ID_936","FB_ID_115571","35-39","M","Interest_36",2797,1,1.289999962,1,0
"ID_776861","CPG_ID_936","FB_ID_115574","45-49","M","Interest_7",16461,6,9.21999979,1,0
"ID_776892","CPG_ID_936","FB_ID_115580","40-44","M","Interest_63",17488,5,7.719999909,1,0
"ID_776928","CPG_ID_936","FB_ID_115586","35-39","M","Interest_10",9750,2,1.5,1,1
"ID_776935","CPG_ID_936","FB_ID_115587","45-49","M","Interest_36",1136,0,0,1,1
"ID_777105","CPG_ID_936","FB_ID_115615","45-49","M","Interest_63",4333,1,0.180000007,1,1
"ID_777130","CPG_ID_936","FB_ID_115619","35-39","M","Interest_16",6260,0,0,1,0
"ID_777131","CPG_ID_936","FB_ID_115619","35-39","M","Interest_16",6359,0,0,1,0
"ID_777166","CPG_ID_936","FB_ID_115625","30-34","M","Interest_63",2383,0,0,1,1
"ID_777187","CPG_ID_936","FB_ID_115629","40-44","M","Interest_27",11292,3,5.389999866,1,1
"ID_777198","CPG_ID_936","FB_ID_115631","30-34","M","Interest_64",12729,4,5.779999852,1,0
"ID_777200","CPG_ID_936","FB_ID_115631","30-34","M","Interest_64",1898,0,0,1,1
"ID_777201","CPG_ID_936","FB_ID_115631","30-34","M","Interest_64",1882,0,0,1,1
